"","Artist","Title","Year","Country","track_title","line","lyric"
"1","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",1,"The satellite's trackin' Santa"
"2","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",2,"We text our Christmas list"
"3","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",3,"And leave our mobile numbers"
"4","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",4,"To help out ole' Saint Nick"
"5","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",5,"Sometimes we stop and wonder"
"6","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",6,"Has that ole' bubble burst?"
"7","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",7,"Or will this Christmas morning be like the first?"
"8","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",8,"But tonight we still thank Bethlehem"
"9","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",9,"And bless the Lord for love again"
"10","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",10,"Bring peace on earth goodwill to men"
"11","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",11,"It's the future not the past"
"12","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",12,"Lets have a:"
"13","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",13,"First night"
"14","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",14,"Star bright"
"15","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",15,"Child of light"
"16","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",16,"So right"
"17","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",17,"21st century Christmas"
"18","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",18,"Magic morn"
"19","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",19,"Tree adorn"
"20","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",20,"Child is born"
"21","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",21,"Safe and warm"
"22","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",22,"21st century Christmas"
"23","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",23,"We'll microwave some popcorn"
"24","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",24,"Put on a DVD"
"25","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",25,"Fax Tiny Tim a thank you"
"26","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",26,"For blessing you and me"
"27","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",27,"Sometimes we watch and wonder"
"28","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",28,"Has Christmas lost its touch?"
"29","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",29,"Can a world beyond the money"
"30","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",30,"Be worth that much?"
"31","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",31,"And tonight as we thank Bethlehem"
"32","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",32,"And bless the Lord for love again"
"33","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",33,"Bring peace on earth, goodwill to men"
"34","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",34,"The future is the past"
"35","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",35,"We'll have a:"
"36","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",36,"First night"
"37","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",37,"Star bright"
"38","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",38,"Child of light"
"39","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",39,"So right"
"40","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",40,"21st century Christmas"
"41","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",41,"We got a:"
"42","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",42,"Magic morn"
"43","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",43,"Tree adorn"
"44","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",44,"Child is born"
"45","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",45,"Safe and warm"
"46","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",46,"21st century Christmas"
"47","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",47,"Yeah!.yeah!.oh!oh!!"
"48","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",48,"The satellite's trackin' Santa"
"49","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",49,"He's got our Christmas list"
"50","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",50,"We left our mobile numbers To help out ole! Saint Nick"
"51","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",51,"Sometimes we stop and wonder"
"52","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",52,"Has that ole! bubble burst?"
"53","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",53,"Or will this Christmas morning be like the first?"
"54","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",54,"But tonight as we thank Bethlehem"
"55","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",55,"And bless the Lord for love again"
"56","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",56,"Bring peace on earth goodwill to men"
"57","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",57,"The future is the past"
"58","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",58,"Bring on a:"
"59","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",59,"First night"
"60","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",60,"Star bright"
"61","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",61,"Child of light"
"62","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",62,"So right"
"63","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",63,"21st century Christmas"
"64","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",64,"We got a:"
"65","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",65,"Magic morn"
"66","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",66,"Tree adorn"
"67","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",67,"Child is born"
"68","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",68,"Safe and warm"
"69","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",69,"21st century Christmas"
"70","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",70,"Wait for snow"
"71","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",71,"Mistletoe Eyes aglow"
"72","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",72,"Ho, ho, ho, ho!"
"73","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",73,"Special wish"
"74","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",74,"Writing list"
"75","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",75,"Hug and kiss"
"76","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",76,"All of this"
"77","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",77,"21st century Christmas"
"78","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",78,"The satellite's trackin' Santa"
"79","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",79,"Got him for you and me"
"80","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",80,"I hope his flight is right on time"
"81","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",81,"He's got my Christmas tree"
"82","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",82,"The microwave's (full) of popcorn"
"83","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",83,"Put on a DVD"
"84","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",84,"And pray for peace on earth tonight"
"85","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",85,"It's all we really need"
"86","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",86,"It's all we really need"
"87","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",87,"It's all we really need"
"88","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",88,"It's all we really need"
"89","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",89,"It's all we really need"
"90","Cliff Richard","""21st Century Christmas""",2006,"UK","21st Century Christmas",90,"It's all we really need fade..."
"91","Mariah Carey","""All I Want for Christmas Is You""",1994,"UK","All I Want for Christmas Is You",1,"I don't want a lot for Christmas"
"92","Mariah Carey","""All I Want for Christmas Is You""",1994,"UK","All I Want for Christmas Is You",2,"There is just one thing I need"
"93","Mariah Carey","""All I Want for Christmas Is You""",1994,"UK","All I Want for Christmas Is You",3,"I don't care about the presents"
"94","Mariah Carey","""All I Want for Christmas Is You""",1994,"UK","All I Want for Christmas Is You",4,"Underneath the Christmas tree"
